metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00001_medium	H2O	True	['Methanobrevibacter_smithii', 'Prevotella_intermedia']	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd03247_medium	Glycochenodeoxycholate	False	[]	['Methanobrevibacter_smithii']
cpd00033_medium	Glycine	True	['Methanobrevibacter_smithii', 'Prevotella_intermedia']	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd01663_medium	Chenodiol	False	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii']
cpd01318_medium	Glycocholate	False	[]	['Methanobrevibacter_smithii']
cpd00526_medium	Cholate	False	['Methanobrevibacter_smithii']	[]
cpd00009_medium	Phosphate	False	[]	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00023_medium	L-Glutamate	True	['Prevotella_intermedia']	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00027_medium	D-Glucose	False	[]	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00028_medium	Heme	False	['Prevotella_intermedia']	[]
cpd00030_medium	Mn2+	False	[]	['Prevotella_intermedia']
cpd00034_medium	Zn2+	False	[]	['Prevotella_intermedia']
cpd00039_medium	L-Lysine	True	['Prevotella_intermedia']	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00041_medium	L-Aspartate	True	['Prevotella_intermedia']	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00048_medium	Sulfate	False	[]	['Prevotella_intermedia']
cpd00051_medium	L-Arginine	False	[]	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00053_medium	L-Glutamine	False	[]	[]
cpd00064_medium	Ornithine	False	[]	[]
cpd00073_medium	Urea	False	['Methanobrevibacter_smithii', 'Prevotella_intermedia']	[]
cpd00098_medium	Choline	False	[]	[]
cpd00105_medium	D-Ribose	True	['Prevotella_intermedia']	['Methanobrevibacter_smithii']
cpd00107_medium	L-Leucine	False	[]	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00108_medium	Galactose	False	[]	[]
cpd00119_medium	L-Histidine	False	[]	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00129_medium	L-Proline	True	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00149_medium	Co2+	False	[]	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00154_medium	Xylose	False	[]	[]
cpd00156_medium	L-Valine	False	[]	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00161_medium	L-Threonine	False	[]	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
cpd00179_medium	Maltose	False	[]	['Prevotella_intermedia']
cpd00209_medium	Nitrate	False	[]	[]
cpd00210_medium	Taurine	False	['Methanobrevibacter_smithii']	[]
cpd00224_medium	L-Arabinose	False	[]	[]
cpd00244_medium	Ni2+	False	[]	['Methanobrevibacter_smithii']
cpd00305_medium	Thiamin	False	[]	['Prevotella_intermedia']
cpd00322_medium	L-Isoleucine	False	[]	['Methanobrevibacter_smithii', 'Prevotella_intermedia']
